Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Category,Product,Unit_Price,Quantity,Discount,Sales,Profit,Month,Month_Number,Quarter
ORD00287,2025-01-02,CUST0118,Customer 118,South,Telangana,Office Supplies,Printer Paper,1643,3,0.1,4436.1,1557.36,Jan,1,Q1
ORD00250,2025-01-02,CUST0177,Customer 177,North,Uttar Pradesh,Furniture,Bookshelf,2333,2,0.05,4432.7,1508.07,Jan,1,Q1
ORD00388,2025-01-03,CUST0135,Customer 135,South,Kerala,Office Supplies,File Folder,954,4,0.0,3816.0,1192.69,Jan,1,Q1
ORD00491,2025-01-05,CUST0079,Customer 79,West,Goa,Technology,Headphones,42307,1,0.05,40191.65,14254.29,Jan,1,Q1
ORD00195,2025-01-05,CUST0070,Customer 70,South,Telangana,Office Supplies,Notebook,787,5,0.05,3738.25,1359.87,Jan,1,Q1
ORD00392,2025-01-06,CUST0106,Customer 106,West,Maharashtra,Accessories,USB Cable,4659,1,0.0,4659.0,760.1,Jan,1,Q1
ORD00540,2025-01-06,CUST0068,Customer 68,West,Maharashtra,Office Supplies,Pens,893,1,0.0,893.0,134.3,Jan,1,Q1
ORD00108,2025-01-07,CUST0165,Customer 165,East,Jharkhand,Accessories,Wallet,4527,5,0.05,21503.25,6499.19,Jan,1,Q1
ORD00076,2025-01-07,CUST0130,Customer 130,West,Gujarat,Accessories,Watch,614,2,0.0,1228.0,392.24,Jan,1,Q1
ORD00564,2025-01-07,CUST0080,Customer 80,North,Haryana,Technology,Headphones,17059,3,0.15,43500.45,13372.39,Jan,1,Q1
ORD00255,2025-01-08,CUST0147,Customer 147,South,Telangana,Furniture,Office Chair,7552,3,0.0,22656.0,7593.98,Jan,1,Q1
ORD00071,2025-01-08,CUST0115,Customer 115,North,Punjab,Furniture,Sofa,6954,1,0.05,6606.3,1583.24,Jan,1,Q1
ORD00023,2025-01-09,CUST0129,Customer 129,South,Tamil Nadu,Accessories,USB Cable,5673,4,0.05,21557.4,3625.25,Jan,1,Q1
ORD00456,2025-01-10,CUST0118,Customer 118,North,Haryana,Furniture,Desk,11941,1,0.1,10746.9,2139.4,Jan,1,Q1
ORD00554,2025-01-10,CUST0070,Customer 70,West,Gujarat,Furniture,Sofa,14875,1,0.0,14875.0,5339.1,Jan,1,Q1
ORD00530,2025-01-11,CUST0165,Customer 165,South,Tamil Nadu,Office Supplies,Pens,1289,1,0.15,1095.65,364.57,Jan,1,Q1
ORD00340,2025-01-11,CUST0108,Customer 108,South,Karnataka,Technology,Monitor,29008,1,0.2,23206.4,4400.99,Jan,1,Q1
ORD00322,2025-01-11,CUST0149,Customer 149,North,Delhi,Office Supplies,Printer Paper,314,5,0.0,1570.0,491.68,Jan,1,Q1
ORD00198,2025-01-12,CUST0055,Customer 55,West,Maharashtra,Accessories,Power Bank,457,2,0.0,914.0,248.53,Jan,1,Q1
